Clean,DateIn,Name,WorkOrderNo,Source,SourceOld,Storage,StorageTime,Rack#,SpecialInstructions,RepairsNeeded,SeeRepair,ReturnStatus,Treat,RushOrder,DateRequired,ShipTo
"10/30/18 00:00:00","10/23/18 00:00:00",,42359,"ACI",,,"Temporary","7 D","Clean & Treat",,,"Ship","10/31/18 00:00:00",0,,"Customer"
"10/30/18 00:00:00","10/25/18 00:00:00",,42362,"DaCosta Awning Co.",,,"Temporary","6 C","Clean & Treat
dirty, mildew, white paint spot, rust from fixtures

weak stitch on panel seam at bottom end, maybe more.  Bind stitch weak
CR - weak stitch separated about half way down body during clean/hang",,,"Ship","10/31/18 00:00:00",0,,"Source"
"10/02/18 00:00:00","09/27/18 00:00:00",,42228,"Gemini Marine Canvas",,,"Temporary","25 hang 4 & top","Clean & Treat
dirty, mildew

Dodger - large side window has scratches
Sailcover - weak stitch on large end zip, some light wear on binding on short zips",,,"Ship","10/02/18 00:00:00",0,,"Source"
"10/02/18 00:00:00","09/27/18 00:00:00",,42229,"Gemini Marine Canvas",,,"Temporary","25 hang 4 & top","Clean & Treat
dirty, mildew - some trapped, poop

glass arrived creased from being folded",,,"Ship","10/02/18 00:00:00",0,,"Source"
"10/02/18 00:00:00","09/28/18 00:00:00",,42226,"Otter Creek Awnings",,,"Temporary","7 C","Clean & Treat
dirty, mildew, lichen across front pocket",,,"Ship","10/02/18 00:00:00",1,,"Source"
"10/02/18 00:00:00","09/19/18 00:00:00",,42197,"ACI",,,"Temporary","25 hang 4 & top","Clean & Treat

#1 needs glass and velcro replacementm replace black double pull trolley.  #2 velcro replacement.  #3 velcro ok?  #6 velcro replacement  #7 replace large double pull white trolley.  #8 replace velcro, replace black zip trolley.  #10 velcro replacement (r&r snap).  #11 weak stitch on zip 6-8"", velcro replacement
LEAVE TAGS ON FOR REPAIR","quote","R10626","Pick Up","10/02/18 00:00:00",0,,"Customer"
"10/02/18 00:00:00","09/26/18 00:00:00",,42215,"Harbor Marine Canvas",,,"Temporary","7 D","Clean & Treat
dirt - some heavy, mildew, poop",,,"Ship","10/02/18 00:00:00",0,,"Source"
"10/03/18 00:00:00","09/12/18 00:00:00",,42186,"Awning Cleaning Industries",,,"Seasonal",,"quote Clean & Treat

TD crew said they were dirty.  RS facing has wear marks from lacing rope, corner ripped but needs to be to fit","yes","R10617","Re-Hang","10/05/18 00:00:00",0,,"Customer"
"10/03/18 00:00:00","09/27/18 00:00:00",,42227,"Gemini Marine Canvas",,,"Temporary","25 hang 4 & top","Clean & Treat
Dodger - dirty, mildew- some trapped
Bimini - dirty, mildew, scorch marks in pockets, needs new tie for antennae cutout CR said bimini has some rust spots in pockets that remain
Connector - tape marks from behind V patch
Hatch - some creases in glass but ok
Covers - each has one small dark rub/wear spot on end hems",,,"Ship","10/04/18 00:00:00",0,,"Source"
"10/03/18 00:00:00","09/27/18 00:00:00",,42219,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat",,,"Re-Hang","10/04/18 00:00:00",0,,"Customer"
"10/03/18 00:00:00","09/25/18 00:00:00",,42206,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat

fabric was wet and bleachy at TD from powerwash crew",,,"Re-Hang","10/04/18 00:00:00",0,,"Customer"
"10/04/18 00:00:00","10/03/18 00:00:00",,42232,"Kinder Industries, Inc.",,,"Temporary","7 C","Clean & Treat - COVER AND BAG!!

Replaced missing snap",,,"Ship","10/08/18 00:00:00",0,,"Source"
"10/04/18 00:00:00","09/26/18 00:00:00",,42223,"Custom Marine Canvas",,,"Temporary","front 25 bin 3 bottom","Clean (no treat per SM)

WATER POCKET MARKS.  Arrived damp, clean ASAP.  1"" slice/tear near 40/30 corner (tagged) - easiest to repair at PU.  Send back with rope that was tied to it.
10/11-NC per SM per Katie/CMC request",,,"Pick Up",,0,,"Source"
"10/05/18 00:00:00","10/03/18 00:00:00",,42240,"Awning Cleaning Industries","ACI",,"Temporary",,"Clean & Treat",,,"Deliver","10/08/18 00:00:00",1,"12/03/18 00:00:00","Customer"
"10/08/18 00:00:00","10/03/18 00:00:00",,42233,"ACI",,,"Temporary","bin 3 bottom","Sails - Clean Only

Cover - Clean & Treat (patch too)","yes","R10643","Pick Up","10/10/18 00:00:00",0,,"Customer"
"10/08/18 00:00:00","10/03/18 00:00:00",,42235,"Awning Cleaning Industries","NHA",,"Seasonal",,"Clean & Treat

CR - clean 2x, 90% improvement, tree sap on body panels, small hole in right side body panel and left front corner",,,"Re-Hang","10/09/18 00:00:00",0,,"Source"
"10/08/18 00:00:00","10/03/18 00:00:00",,42239,"Awning Cleaning Industries","ACI",,"Seasonal",,"Clean & Treat

CR - 2-3 very small wear mark son FB (took iron out to clean), 1 area on braid becoming loose but not critical, fabric becoming old, thin and faded",,,"Re-Hang","10/09/18 00:00:00",0,,"Customer"
"10/09/18 00:00:00","10/05/18 00:00:00",,42250,"ACI","ACI",,"Temporary","6-B","Clean and treat",,,"Pick Up","10/10/18 00:00:00",0,,
"10/09/18 00:00:00","10/08/18 00:00:00",,42259,"Otter Creek Awnings",,,"Temporary","7 C","Clean & Treat

KEEP BOX AND TUBE FOR SHIP BACK",,,"Ship","10/10/18 00:00:00",0,,"Source"
"10/10/18 00:00:00","10/09/18 00:00:00",,42262,"NS CT",,,"Temporary",,"Sails - Clean Only

Sailcover - Clean & Treat - WEIGH!",,,"Pick Up","10/11/18 00:00:00",0,,"Source"
"10/10/18 00:00:00","10/09/18 00:00:00",,42261,"NS CT",,,"Temporary",,"Clean & Treat

inspect/quote repairs.  CR - dodger and windows have trapped dirt","quote","R10668","Pick Up","10/11/18 00:00:00",0,,"Source"
"10/10/18 00:00:00","10/09/18 00:00:00",,42260,"NS CT","Fairclough",,"Temporary",,"Clean Only",,,"Pick Up",,0,,"Source"
"10/10/18 00:00:00","10/05/18 00:00:00",,42251,"Gilberte Interiors, Inc.",,,"Temporary","6-B","Clean and treat

Fabric seems older, some wear marks, covered w lichen and soaked.  2 sm spots not coming out but 95% improvement",,,"Ship","10/12/18 00:00:00",0,,"Source"
"10/10/18 00:00:00","10/04/18 00:00:00",,42241,"Awning Cleaning Industries",,,"Temporary",,"RINSE ONLY per Scott",,,"Re-Hang",,1,,"Customer"
"10/11/18 00:00:00","10/11/18 00:00:00",,42272,"DaCosta Awning Co.",,,"Temporary","6 C","Clean & Treat

L-2-1 hole one on end of HR pocket, weak stitch same area
L-2-2 weak stitch on L wing hem and panel seams
F-2-3  fabric thin/worn",,,"Ship","10/12/18 00:00:00",0,,"Source"
"10/11/18 00:00:00","10/09/18 00:00:00",,42256,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat

rear ext has loose stitch on panel seams.  Most have rub marks on front center prob from ropes rubbing - not a repair","yes","R10663","Re-Hang","10/12/18 00:00:00",0,,"Customer"
"10/11/18 00:00:00","10/10/18 00:00:00",,42252,"ACI",,,,,"Clean and treat, complete restitch","Yes","10657","Pick Up","10/12/18 00:00:00",0,,"Customer"
"10/11/18 00:00:00","10/11/18 00:00:00",,42271,"DaCosta Awning Co.",,,"Temporary","6 C","Clean & Treat

some wear spots/holes on ends of pockets, suggest reverse at PU",,,"Ship","10/12/18 00:00:00",0,,"Source"
"10/12/18 00:00:00","10/11/18 00:00:00",,42278,"ACI",,,"Temporary","6 C","Clean & Treat
dirty, mildew - stripes, bug? reside along ridge line

#1/D tagged for repair - leave tag on!","yes","R10676","Pick Up","10/13/18 00:00:00",0,,"Customer"
"10/12/18 00:00:00","10/10/18 00:00:00",,42273,"Susan's Workroom","Lower Cape",,"Temporary","7 C","Clean & Treat",,,"Ship","10/13/18 00:00:00",0,,"Source"
"10/12/18 00:00:00","10/09/18 00:00:00",,42254,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat",,,"Deliver","10/17/18 00:00:00",0,,"Customer"
"10/12/18 00:00:00","10/04/18 00:00:00",,42274,"ACI",,,"Temporary","7 C","Clean & Treat

Bimini needs full restitch, binding in bad shape.
Other cover needs panel seam restitch and one side hem","yes","R10675","Pick Up","10/13/18 00:00:00",0,,"Customer"
"10/13/18 00:00:00","10/10/18 00:00:00",,42280,"Awning Cleaning Industries","ACI",,"Seasonal",,"Clean & Treat

DOUBLE BU WAS CLEANED LAST YEAR AND DID NOT GO UP.",,,"Re-Hang","10/15/18 00:00:00",0,,"Customer"
"10/13/18 00:00:00","09/26/18 00:00:00",,42216,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat

inspect stitch, binding and holes
CR - 85% BETTER","quote","R10637","Re-Hang","10/15/18 00:00:00",0,,"Customer"
"10/15/18 00:00:00","09/27/18 00:00:00",,42218,"Awning Cleaning Industries",,,"Seasonal",,"Clean ONLY - NO TREAT

#2 has pin hole in val and rip in upper right corner","quote","R10636","Re-Hang",,0,,"Customer"
"10/15/18 00:00:00","10/10/18 00:00:00",,42277,"ACI",,,"Temporary","25 hang 4 & top","Clean & Treat
dirty, mildew, poop",,,"Pick Up","10/16/18 00:00:00",0,,"Customer"
"10/15/18 00:00:00","10/12/18 00:00:00",,42281,"Lyman-Morse at Wayfarer Marine",,,"Temporary","7 C","Clean & Treat
dirty, mildew, poop

Helm/Bow cover - velcro fairly worn",,,"Ship","10/16/18 00:00:00",0,,"Source"
"10/15/18 00:00:00","10/12/18 00:00:00",,42282,"Dor-A-Mar Canvas",,,"Temporary","7 C","Clean & Treat
dirty, mildew, heavy poop, white rub/wear mark topside along middle zip pocket",,,"Ship","10/18/18 00:00:00",0,,"Source"
"10/16/18 00:00:00","10/15/18 00:00:00",,42285,"ACI",,,"Temporary","7 B","Clean & Treat

CR - swing cover was recleaned and still has 2 areas that had spots that still remain",,,"Ship","10/18/18 00:00:00",0,,"Customer"
"10/16/18 00:00:00","10/15/18 00:00:00",,42286,"ACI","NeilPryde/NS CT/SSR/ACI",,"Temporary","bin 3 bottom","Clean Only",,,"Pick Up",,0,,"Customer"
"10/16/18 00:00:00","10/16/18 00:00:00",,42297,"UK Metro","UK CI",,"Temporary",,"Dacron sails - Clean Only
Mylar / Tape drive sails - Rinse Only

Sailcover - Clean Only",,,"Pick Up",,0,,"Source"
"10/16/18 00:00:00","10/15/18 00:00:00",,42287,"Gemini Marine Canvas",,,"Temporary","7 B","Clean & Treat

Helm - peak has 3 black marks, some mild poop",,,"Ship","10/18/18 00:00:00",0,,"Source"
"10/16/18 00:00:00","10/16/18 00:00:00",,42295,"UK Metro","UK CI",,"Temporary",,"Spins - RINSE ONLY

Dacron sails - Clean Only
Mylar / tape drive sails - Rinse only",,,"Pick Up",,0,,"Source"
"10/17/18 00:00:00","10/16/18 00:00:00",,42303,"UK Metro",,,"Temporary",,"Dacron sails - Clean Only
Mylar / tape drive sails - Rinse Only
Spins - RINSE ONLY",,,"Pick Up",,1,,"Source"
"10/17/18 00:00:00","01/00/00 00:00:00",,42290,"ACI",,,"Seasonal","7 B","Clean & Treat",,,"Pick Up","10/18/18 00:00:00",0,,"Customer"
"10/17/18 00:00:00","10/15/18 00:00:00",,42291,"Gemini Marine Canvas",,"25 hang 2 - 2 pc white bag","Temporary","25 hang 2 top - 2 bundles","Clean & Treat",,,"Ship","10/18/18 00:00:00",0,,"Source"
"10/17/18 00:00:00","10/16/18 00:00:00",,42302,"UK Metro","UK CI",,"Temporary",,"Dacron sails - Clean Only
Mylar / tape drive sails - Rinse Only

Bimini / Hatch / Winch covers - Clean & Treat & MEASURE
DID NOT RECEIVE WINCH COVERS",,,"Pick Up","10/26/18 00:00:00",0,,"Source"
"10/17/18 00:00:00","10/15/18 00:00:00",,42294,"Gemini Marine Canvas",,,"Temporary","bin 2 top","Clean & Treat
some have heavy film/dirt on fabric

Vinyl cover without windows STILL in poor shape, missing one snap
some windows have snaps with fraying fabric around them",,,"Ship","10/18/18 00:00:00",1,"10/23/18 00:00:00","Source"
"10/18/18 00:00:00","10/17/18 00:00:00",,42321,"ACI","NS CT",,"Temporary","bin 4 bottom","Clean Only",,,"Pick Up",,0,,"Customer"
"10/20/18 00:00:00","10/17/18 00:00:00",,42329,"Gemini Marine Canvas",,,"Temporary","6 C","Clean & Treat
underside dirty, mildew, black rub marks on white V patches",,,"Ship","10/22/18 00:00:00",1,"10/25/18 00:00:00","Source"
"10/20/18 00:00:00","10/15/18 00:00:00",,42319,"ACI",,,"Temporary","7 B","Clean & Treat
FILTHY

stitching popped on reinforcement patch at bow, KS stitch 2 mins",,,"Pick Up","10/22/18 00:00:00",0,,"Customer"
"10/20/18 00:00:00","10/16/18 00:00:00",,42326,"ACI",,,"Temporary","7 B","Clean & Treat",,,"Pick Up","10/22/18 00:00:00",0,,"Customer"
"10/23/18 00:00:00","10/15/18 00:00:00",,42317,"Gemini Marine Canvas",,,"Temporary","7 C","Clean & Treat
mild poop, grease stain in center

areas not previously restitched are letting go, V patch on bottom beginning to crack
CR - thought some spots were poop but theyre paint and wont come out",,,"Ship","10/24/18 00:00:00",0,,"Source"
"10/23/18 00:00:00","10/17/18 00:00:00",,42330,"Gemini Marine Canvas",,,"Temporary","25 hang 2","Clean & Treat

glass heavily creased upon arrival",,,"Ship","10/24/18 00:00:00",0,,"Source"
"10/23/18 00:00:00","10/15/18 00:00:00",,42316,"Gemini Marine Canvas",,,"Temporary","25 hang 1","Clean & Treat

Bimini - top has some white wear? Marks, underside mild mildew, velcro worn in center.
Dodger - 2 holes in ea corner above windows and also at top of fabric corners(on purpose)
CR - windows cracked but did not notice at check in or clean.  SM email Gemini",,,"Ship","10/24/18 00:00:00",0,,"Source"
"10/24/18 00:00:00","10/16/18 00:00:00",,42327,"ACI",,,"Temporary","6 D","Clean & Treat
dirty, mildew, scrape marks and rub lines",,,"Pick Up","10/25/18 00:00:00",0,,"Customer"
"10/24/18 00:00:00","10/16/18 00:00:00",,42300,"UK Metro",,,"Temporary",,"If sailcover - Clean Only & WEIGH

If boat cover - Clean & Treat & MEASURE",,,"Pick Up","10/25/18 00:00:00",0,,"Source"
"10/24/18 00:00:00","10/04/18 00:00:00",,42243,"Awning Cleaning Industries",,,"Seasonal",,"Clean & Treat

Missing one grommet on rafter pocket - repair NC if cleaning","quote","R10651","Re-Hang","10/25/18 00:00:00",0,,"Source"
"10/25/18 00:00:00","10/17/18 00:00:00",,42313,"NS CT",,,"Temporary","bin 3 bottom","RINSE ONLY",,,"Pick Up",,0,,"Source"
"10/25/18 00:00:00","10/23/18 00:00:00",,42342,"UK Metro",,,"Temporary","bin 5 top & bottom","Cruising main - LIST SAYS SPECIAL ATTENTION
CODE 0 - Rinse only

Sails - Clean Only (MARK ANY THAT WERE MYLAR AND RINSED)",,,"Pick Up",,0,,"Source"
"10/25/18 00:00:00","10/17/18 00:00:00",,42314,"NS CT",,,"Temporary","bin 3 bottom","RINSE ONLY

weigh- list says main & genoa 20# ea",,,"Pick Up",,0,,"Source"
"10/25/18 00:00:00","10/10/18 00:00:00",,42270,"Awning Cleaning Industries","KA/NHA",,"Seasonal",,"Clean & Treat

CR - some rust stains on bottom did not come out, was filthy and 98%better",,,"Re-Hang","10/25/18 00:00:00",0,,"Customer"
"10/25/18 00:00:00","10/16/18 00:00:00",,42296,"UK Metro","UK CI",,"Temporary",,"Dacron sails - Clean Only
Mylar / tape drive sails - RINSE ONLY

Sailcover - Clean Only",,,"Pick Up",,0,,"Source"
"10/25/18 00:00:00","10/16/18 00:00:00",,42301,"UK Metro","UK CI",,"Temporary",,"Clean ONLY",,,"Pick Up",,0,,"Source"
"10/25/18 00:00:00","10/16/18 00:00:00",,42299,"UK Metro","UK CI",,"Temporary",,"Clean ONLY",,,"Pick Up",,0,,"Source"
"10/25/18 00:00:00","10/16/18 00:00:00",,42298,"UK Metro","UK CI",,"Temporary",,"Dacron sails - Clean Only
Mylar / tape drive sails - Rinse Only

Reacher bag tagged reacher, sail tagged RF self tracking jib",,,"Pick Up",,0,,"Source"
"10/26/18 00:00:00","10/17/18 00:00:00",,42324,"Sunnyside Marine Upholstery",,,"Temporary","6 B","Clean & Treat
dirty, mildew, poop, rub marks from frame",,,"Pick Up","10/30/18 00:00:00",0,,"Source"
"10/26/18 00:00:00","10/17/18 00:00:00",,42310,"NS CT",,,"Temporary","bin 3 bottom","Clean Only",,,"Pick Up",,0,,"Source"
